attempttime,difficulty,userid,iscorrect,examid
1488742995744,2,df8a88f0-a2b4-11e6-aa08-627a16b219f6,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995747,2,df8a88f0-a2b4-11e6-aa08-627a16b219f6,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995750,2,df8a88f0-a2b4-11e6-aa08-627a16b219f6,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995752,2,df8a88f0-a2b4-11e6-aa08-627a16b219f6,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995756,2,df8a88f0-a2b4-11e6-aa08-627a16b219f6,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995759,2,df8a88f0-a2b4-11e6-aa08-627a16b219f6,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995762,2,df8a88f0-a2b4-11e6-aa08-627a16b219f6,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742995764,2,df8a88f0-a2b4-11e6-aa08-627a16b219f6,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996024,2,8cd3f360-a2c0-11e6-850f-4e77f620eec2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996028,2,8cd3f360-a2c0-11e6-850f-4e77f620eec2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996030,2,8cd3f360-a2c0-11e6-850f-4e77f620eec2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996032,2,8cd3f360-a2c0-11e6-850f-4e77f620eec2,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996035,2,8cd3f360-a2c0-11e6-850f-4e77f620eec2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996037,2,8cd3f360-a2c0-11e6-850f-4e77f620eec2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996041,2,8cd3f360-a2c0-11e6-850f-4e77f620eec2,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996043,2,8cd3f360-a2c0-11e6-850f-4e77f620eec2,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996046,2,8cd3f360-a2c0-11e6-850f-4e77f620eec2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996048,2,8cd3f360-a2c0-11e6-850f-4e77f620eec2,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996209,2,bd8d05a0-a2f2-11e6-a4a1-a1eb532795b7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996213,2,bd8d05a0-a2f2-11e6-a4a1-a1eb532795b7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996217,2,bd8d05a0-a2f2-11e6-a4a1-a1eb532795b7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996220,2,bd8d05a0-a2f2-11e6-a4a1-a1eb532795b7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996226,2,bd8d05a0-a2f2-11e6-a4a1-a1eb532795b7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996228,2,de396320-a2fc-11e6-b185-727282af1700,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996233,2,de396320-a2fc-11e6-b185-727282af1700,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996235,2,de396320-a2fc-11e6-b185-727282af1700,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996237,2,de396320-a2fc-11e6-b185-727282af1700,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996239,2,de396320-a2fc-11e6-b185-727282af1700,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996242,2,de396320-a2fc-11e6-b185-727282af1700,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996244,2,de396320-a2fc-11e6-b185-727282af1700,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996246,2,de396320-a2fc-11e6-b185-727282af1700,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996249,2,de396320-a2fc-11e6-b185-727282af1700,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996254,2,de396320-a2fc-11e6-b185-727282af1700,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996386,2,bffd2b30-a306-11e6-a8be-757b2ce9f239,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996388,2,bffd2b30-a306-11e6-a8be-757b2ce9f239,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996389,2,bffd2b30-a306-11e6-a8be-757b2ce9f239,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996391,2,bffd2b30-a306-11e6-a8be-757b2ce9f239,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996393,2,bffd2b30-a306-11e6-a8be-757b2ce9f239,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996395,2,bffd2b30-a306-11e6-a8be-757b2ce9f239,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996399,2,bffd2b30-a306-11e6-a8be-757b2ce9f239,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996401,2,c52f9fb0-a307-11e6-ba3c-3ece03c930c7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996404,2,c52f9fb0-a307-11e6-ba3c-3ece03c930c7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996406,2,c52f9fb0-a307-11e6-ba3c-3ece03c930c7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996409,2,c52f9fb0-a307-11e6-ba3c-3ece03c930c7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996411,2,c52f9fb0-a307-11e6-ba3c-3ece03c930c7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996413,2,c52f9fb0-a307-11e6-ba3c-3ece03c930c7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996416,2,c52f9fb0-a307-11e6-ba3c-3ece03c930c7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996419,2,c52f9fb0-a307-11e6-ba3c-3ece03c930c7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996421,2,c52f9fb0-a307-11e6-ba3c-3ece03c930c7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742996423,2,c52f9fb0-a307-11e6-ba3c-3ece03c930c7,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742997119,2,c9d37f10-a324-11e6-9928-e8390c91bf63,False,72975611-4a5e-11e5-a83f-8b51c790d8b8
1488742997121,2,c9d37f10-a324-11e6-9928-e8390c91bf63,True,72975611-4a5e-11e5-a83f-8b51c790d8b8
